partial,f,sigma,r2,fittedFrameCount
1,48.4497,0.299317,0.920578,1262
2,98.2452,0.18833,0.618059,1275
3,146.695,0.270953,0.933541,1273
4,195.145,0.188116,0.844281,1273
5,244.94,0.182134,0.813779,1274
7,341.84,0.168944,0.631731,1273
8,391.635,0.230078,0.947286,1276
10,489.88,0.25714,0.794776,1272
11,539.676,0.165916,0.745367,1271
12,588.126,0.23238,0.718617,1272
13,637.921,0.227225,0.786978,1271
14,687.717,0.17705,0.808928,1256
15,737.512,0.220657,0.799332,1271
16,787.308,0.186263,0.621561,1274
17,837.103,0.227763,0.725072,1272
18,886.899,0.238738,0.830805,1272
19,936.694,0.335486,0.904604,1266
20,987.836,0.255267,0.823574,1270
21,1038.98,0.296131,0.855743,1271
22,1091.46,0.281427,0.852873,1261
23,1143.95,0.271781,0.831367,1271
33,1713.24,0.376274,0.856106,1226
34,1765.72,0.518167,0.914165,922
35,1819.56,0.439211,0.957663,1073
36,1873.39,0.470251,0.953225,1181
37,1928.57,0.508603,0.926131,1060
38,1983.75,0.464537,0.976173,1165
54,2842.38,1.15233,0.923579,351
