partial,f,sigma,r2,fittedFrameCount
1,43.0664,0.277296,0.912014,1262
2,87.4786,0.33508,0.969078,1262
3,130.545,0.305953,0.980678,1267
4,173.611,0.267063,0.906575,1273
5,218.024,0.209852,0.702744,1272
6,261.09,0.250201,0.945266,1272
7,305.502,0.206674,0.711019,1273
9,392.981,0.148251,0.611884,1275
11,480.46,0.245803,0.836109,1277
13,567.938,0.242276,0.765606,1270
15,656.763,0.321422,0.844809,1267
16,701.175,0.24704,0.752423,1271
17,745.587,0.263214,0.785585,1270
18,791.345,0.166561,0.767084,1274
19,835.757,0.179267,0.652119,1271
20,880.17,0.208709,0.71124,1270
21,925.928,0.272382,0.865039,1268
22,971.686,0.35481,0.884639,1263
23,1018.79,0.344987,0.945036,1262
28,1257,0.712336,0.739659,319
34,1580,0.559347,0.921086,900
35,1628.45,0.670382,0.914614,708
36,1678.24,0.539721,0.919622,840
37,1726.69,0.576843,0.952981,887
38,1776.49,0.520341,0.969271,1042
39,1826.28,0.597143,0.907742,679
41,1927.22,0.59303,0.969224,918
42,1977.02,0.620213,0.967405,855
49,2395.57,0.816048,0.922295,511
60,2613.59,1.5844,0.970866,323
61,3135.77,2.32238,0.845599,380
