partial,f,sigma,r2
1,34.9915,0.189322,0.900913
2,68.6371,0.182844,0.876357
3,103.629,0.155049,0.799836
4,137.274,0.150468,0.789192
5,172.266,0.1729,0.865854
7,240.903,0.149416,0.666743
8,275.894,0.146353,0.8836
9,310.886,0.130972,0.705556
11,380.869,0.151898,0.690062
13,450.851,0.177228,0.850269
14,499.301,4.51,0.999732
15,520.834,0.211895,0.921501
16,557.172,0.125058,0.621565
17,592.163,0.184034,0.850242
18,627.155,0.22841,0.87442
19,663.492,0.214415,0.857511
20,699.829,0.223036,0.780175
21,734.821,0.167151,0.808104
22,772.504,0.199734,0.878368
23,808.841,0.212852,0.924675
24,845.178,0.246958,0.914516
25,881.516,0.235128,0.906404
26,919.199,0.304902,0.974166
27,956.882,0.310933,0.954249
28,998.602,0.45136,0.945248
29,1033.59,0.31274,0.964868
37,1379.47,0.473994,0.999138
38,1421.19,0.488721,0.991754
39,1460.22,0.501763,0.992281
40,1497.9,0.680356,0.772823
41,1543.66,0.551223,0.980358
42,1584.04,0.663575,0.925915
43,1625.76,0.598669,0.978588
44,1668.82,0.607018,0.998646
45,1710.54,0.673224,0.976248
48,1838.4,0.810802,0.989408
49,1882.81,0.790188,0.994608
50,1925.88,0.85665,0.999681
75,3262.28,2.60295,0.867938
