partial,f,sigma,r2
1,82.0953,0.247629,0.943914
2,165.536,0.193188,0.83862
3,247.632,0.284118,0.960635
4,329.727,0.161685,0.517204
5,411.823,0.163297,0.818176
6,493.918,0.246965,0.693439
7,577.359,0.207534,0.845747
8,659.454,0.22491,0.778477
9,742.896,0.30647,0.840381
10,824.991,0.207452,0.71723
11,908.432,0.252608,0.841724
12,991.873,0.261344,0.868449
13,1075.31,0.240093,0.822842
14,1158.76,0.362267,0.884703
15,1243.54,0.26793,0.818654
16,1326.98,0.56733,0.908833
17,1411.77,0.263613,0.779707
18,1496.56,0.290278,0.859931
19,1581.34,0.325263,0.810011
